authors,title,#grscore,#votes,#pagecount,#wordcount
"Diane Duane & Peter Morwood","Rihannsu: The Bloodwing Voyages","4.32","272","907","274004"
"Diane Duane","Omnitopia Dawn","3.74","919","456","135721"
"Arthur C. Clarke","The City and the Stars and the Sands of Mars","4.1","492","544","164396"
"Howard Zinn","The Zinn Reader: Writings on Disobedience and Democracy","4.26","2162","682","240050"
"Heidi Cullen","The Weather of the Future: Heat Waves, Extreme Storms, and Other Scenes From a Climate-Changed Planet","3.75","320","327","100745"
"Bryce Courtenay","Fortune Cookie","3.83","1442","667","207175"
"Melissa Marr","Stopping Time, Part 2","3.97","1809","24","5943"
"Melissa Marr","Stopping Time, Part 1","3.96","2016","26","7116"
"S. D. Perry","Dawn of the Eagles","4.04","366","428","124541"
"Brenda Wineapple","White Heat: The Friendship of Emily Dickinson and Thomas Wentworth Higginson","3.98","545","443","133955"
"Jack McDevitt","Ancient Shores","3.69","2713","380","104697"
"Jack McDevitt","Moonfall","3.81","2371","552","159479"
"Ray Bradbury","Green Shadows, White Whale","3.8","1383","303","75496"
"Ray Bradbury","Driving Blind","3.6","1543","134","52343"
"Ray Bradbury","The Day It Rained Forever","3.91","980","179","70100"
"Ray Bradbury","A Graveyard for Lunatics: Another Tale of Two Cities","3.55","2704","215","84439"
"Ellen Johnson Sirleaf","This Child Will Be Great: Memoir of a Remarkable Life by Africa's First Woman President","3.99","1955","398","122602"
"J. M. Barrie","Peter Pan in Kensington Gardens / Peter and Wendy","3.82","548","45","16072"
"Duncan Falconer","Undersea Prison","3.8","396","377","110057"
"Duncan Falconer","Mercenary","3.95","333","330","91774"
"Duncan Falconer","Traitor","4.06","265","336","95950"
"Duncan Falconer","The Hijack","4.07","444","404","125838"
"Darren Shan","Procession of the Dead","3.94","2908","241","97092"
"Mark Thompson","The White War: Life and Death on the Italian Front 1915-1919","3.99","1089","578","183823"
"Diarmaid MacCulloch","Christianity: The First Three Thousand Years","4.12","6428","1553","480849"
"Jeremy Clarkson","Clarkson on Cars","3.65","1120","270","104064"
"Jeremy Clarkson","And Another Thing: The World According to Clarkson Volume Two","3.79","3032","199","78526"
"Jeremy Clarkson","Born to Be Riled","3.59","1277","397","159039"
"Jeremy Clarkson","Don't Stop Me Now","3.69","1257","215","83703"
"Jeremy Clarkson","Motorworld","3.77","1107","129","50498"
"Jeremy Clarkson","For Crying Out Loud!","3.84","2545","196","77935"
"Jeremy Clarkson","I Know You Got Soul","3.72","2289","127","49376"
"Sarah Bradford","Lucrezia Borgia: Life, Love and Death in Renaissance Italy","3.72","4641","458","152674"
"Paul Shaffer & David Ritz","We'll Be Here for the Rest of Our Lives: A Swingin' Show-Biz Saga","3.56","772","285","83085"
"Dana Cameron","A Fugitive Truth","3.91","432","335","103653"
"Dana Cameron","Past Malice","3.75","491","353","103585"
"Dana Cameron","More Bitter Than Death","3.86","375","349","100427"
"Dana Cameron","Ashes and Bones","3.77","346","328","94425"
"Chuck Klosterman","Chuck Klosterman on Media and Culture: A Collection of Previously Published Essays","3.67","126","140","46401"
"Chuck Klosterman","The Billy Joel Essays: Essays From Sex, Drugs, and Cocoa Puffs and Chuck Klosterman IV","3.97","36","156","52325"
"Chuck Klosterman","Chuck Klosterman on Film and Television: A Collection of Previously Published Essays","3.79","190","153","51172"
"Chuck Klosterman","Chuck Klosterman on Rock: A Collection of Previously Published Essays","3.68","205","128","47307"
"John C. McManus","Grunts: Inside the American Infantry Combat Experience, World War II Through Iraq","4.1","269","667","208029"
"Frances Hodgson Burnett","Secret Garden","4.16","1245120","301","93225"
"Stephen Baxter & C. C. Finlay & James L. Cambias & Michael Swanwick & Maureen F. McHugh & Geoff Ryman & Gwyneth Jones & Daryl Gregory & Kristine Kathryn Rusch & Nancy Kress & Garth Nix & Karl Schroeder & James Alan Gardner & Aliette de Bodard & Paolo Bacigalupi & Elizabeth Bear & Sarah Monette & Alastair Reynolds & Ian McDonald & Dominic Green & Ted Kosmatka & Gord Sellar & Mary Robinette Kowal & Robert Reed & Jay Lake & Paul McAuley & Greg Egan & Mary Rosenblum & Hannu Rajaniemi","The Year's Best Science Fiction: Twenty-Sixth Annual Collection","3.98","601","1263","372088"
"Gardner Dozois","The Mammoth Book of the Best of the Best New SF","4.14","904","1280","376929"
"Roberto Escobar Gaviria & David Fisher","The Accountant's Story: Inside the Violent World of the Medellin Cartel","3.69","2365","286","99704"
"George Orwell","Modern Classics the Complete Novels of George Orwell","4.4","1290","1497","497439"
"Bob Woodward","Obama's Wars","3.82","9033","470","140170"
"R. A. Salvatore","The Crimson Shadow","4.04","1109","1105","310304"
"Hunter S. Thompson","Screwjack: A Short Story","3.57","457","23","7469"
"John Shors","Dragon House","3.9","1052","419","117615"
"John Shors","The Wishing Trees","3.68","1007","373","111560"
"John Shors","Beside a Burning Sea","3.66","2119","444","125282"
"Thomas E. Ricks","The Gamble: General Petraeus and the American Military Adventure in Iraq","3.97","2274","483","151612"
"Larry Niven & Jerry Pournelle","Escape From Hell","3.64","1487","374","92941"
"Larry Niven & Edward M. Lerner","Juggler of Worlds","3.86","2789","435","109959"
"Michael Anthony","Mass Casualties: A Young Medic's True Story of Death, Deception, and Dishonor in Iraq","3.66","364","202","57755"
"Kathy Reichs","Deja Dead","3.88","153554","527","134926"
"Alex Scarrow","Afterlight","3.98","1189","604","157119"
"Alex Scarrow","Last Light","3.96","2011","510","131794"
"Alex Scarrow","A Thousand Suns","3.71","879","487","131709"
"Alex Scarrow","October Skies","3.69","709","510","128398"
"Richard Laymon","Savage","3.94","2919","557","150512"
"Bernard Cornwell","Lords of the North","4.36","50900","372","113041"
"Walter Mosley","The Last Days of Ptolemy Grey","4.14","9030","282","71125"
"Bill Bryson","Seeing Further: The Story of Science & the Royal Society","3.58","2474","445","136568"
"Bill Bryson","Neither Here Nor There: Travels in Europe","3.86","77334","295","100511"
"Bill Bryson","A Walk in the Woods: Rediscovering America on the Appalachian Trail","4.07","430085","293","94165"
"Bill Bryson","A Short History of Nearly Everything","4.22","408107","467","168999"
"David Rosenfelt","New Tricks","4.21","7343","309","81598"
"David Rosenfelt","Play Dead","4.21","7857","324","87024"
"Fred Thompson","Teaching the Pig to Dance: A Memoir","3.87","263","150","53231"
"China Miéville","Kraken","3.62","27995","555","153855"
"China Miéville","Iron Council","3.73","16394","539","157320"
"China Miéville","The Scar","4.18","33915","730","204328"
"Rob Sheffield","Love Is a Mix Tape: Life and Loss, One Song at a Time","3.87","41229","160","55732"
"David Grann","The Lost City of Z: A Tale of Deadly Obsession in the Amazon","3.9","104680","336","109379"
"Brent Weeks","Beyond the Shadows","4.27","102004","602","173794"
"David Grann","The Devil & Sherlock Holmes: Tales of Murder, Madness & Obsession","3.79","9452","391","128938"
"Brent Weeks","Shadow's Edge","4.25","107152","581","165894"
"Dan Brown","Angels & Demons","3.95","3319614","589","149631"
"Dan Brown","Deception Point","3.76","687942","563","144181"
"Dan Brown","The Lost Symbol","3.76","634170","630","160280"
"Dan Brown","The Da Vinci Code","3.93","2453676","530","139991"
"Lian Hearn","Heaven's Net Is Wide","4.19","8584","418","163063"
"Lian Hearn","The Harsh Cry of the Heron","3.97","13617","585","174690"
"Lian Hearn","Across the Nightingale Floor","4.06","44202","289","87519"
"Lian Hearn","Brilliance of the Moon","4.08","22106","336","104173"
"Lian Hearn","Grass for His Pillow: The Way Through the Snow","4.18","273","301","91815"
"Paulo Coelho","The Fifth Mountain","3.63","45347","130","51869"
"Paulo Coelho","Veronika Decides to Die","3.73","234375","16","6191"
"Paulo Coelho","The Pilgrimage","3.65","65457","164","66701"
"Paulo Coelho","The Devil and Miss Prym","3.62","72931","115","45964"
"Paulo Coelho","The Zahir","3.58","81293","210","84940"
"Paulo Coelho","Manual of the Warrior of Light","3.51","8943","9","3772"
"Paulo Coelho","Eleven Minutes","3.71","185658","172","68433"
"Paulo Coelho","The Witch of Portobello","3.56","83053","186","73621"
"Paulo Coelho","By the River Piedra I Sat Down and Wept","3.57","106631","96","39574"
"Edward Rutherfurd","New York","4.19","42606","1153","340260"
"Edward Rutherfurd","The Rebels of Ireland","4.11","7525","1000","301045"
"Dick Bass & Pat Morrow","Seven Summits","3.74","70","467","140730"
"Travis S. Taylor","One Day on Mars","3.66","1108","345","102804"
"Travis S. Taylor & Les Johnson","Back to the Moon","3.81","229","336","99805"
"Travis S. Taylor","The Quantum Connection","3.94","581","336","100273"
"Travis S. Taylor","Warp Speed","3.86","1188","324","101000"
"Travis S. Taylor","One Good Soldier","3.96","286","354","103569"
"Travis S. Taylor","The Tau Ceti Agenda","3.8","474","349","100282"
"Vasily Grossman","A Writer at War: Vasily Grossman With the Red Army","4.19","3590","327","133142"
"Kate Mosse","The Cave","3.61","1312","62","17190"
"Christopher Paolini","Eragon","3.96","1881723","549","161020"
"Anthony Powell","Casanova's Chinese Restaurant","4.1","1085","235","70195"
"Anthony Powell","A Question of Upbringing","3.72","4776","226","70363"
"Anthony Powell","The Military Philosophers","4.05","890","256","73294"
"Anthony Powell","At Lady Molly's","4.11","1146","242","72295"
"Anthony Powell","A Buyer's Market","3.85","1532","264","83527"
"Anthony Powell","A Dance to the Music of Time: 4th Movement","4.23","1544","287","84487"
"Anthony Powell","The Kindly Ones","4.24","978","264","76350"
"Anthony Powell","The Valley of Bones","4.11","945","257","71131"
"Amy Stewart","Wicked Plants: The Weed That Killed Lincoln's Mother and Other Botanical Atrocities","3.82","10778","105","41245"
"Carlo Collodi","Pinocchio","3.84","86131","161","42151"
"Niall Ferguson","The House of Rothschild, Vol 1: Money's Prophets, 1798-1848","3.88","1674","776","275456"
"S. M. Stirling","Island in the Sea of Time","4.01","8325","774","223964"
"S. M. Stirling","The High King of Montival","3.95","3855","498","146221"
"S. M. Stirling","On the Oceans of Eternity","4.03","4498","856","253288"
"S. M. Stirling","Against the Tide of Years","4.05","5010","505","191441"
"Melanie Rawn","Sunrunner's Fire","4.11","9082","576","164435"
"Melanie Rawn","Dragon Prince","3.95","16569","657","196830"
"Melanie Rawn","The Star Scroll","4.1","9537","711","209768"
"S. D. Perry","Night of the Wolves","4.04","420","463","134566"
"S. D. Perry & Weddle David & Jeffrey Lang & Keith R. A. DeCandido","Twist of Faith","4.13","439","1044","296692"
"Jack L. Chalker","Watchers at the Well","4.14","126","358","112861"
"Jack L. Chalker","The Sea Is Full of Stars","3.91","694","418","129680"
"Jack L. Chalker","Ghost of the Well of Souls","3.88","735","383","119437"
"Jack L. Chalker","Midnight at the Well of Souls","3.97","4857","438","123025"
"Jack L. Chalker","Twilight at the Well of Souls","4.05","2128","339","102377"
"Jack L. Chalker","The Return of Nathan Brazil","4.03","2060","320","93987"
"Stephen R. Lawhead","Tuck","4.11","7708","396","117394"
"Stephen Fry","The Ode Less Travelled: Unlocking the Poet Within","4.06","3866","264","93931"
"Stephen Fry","The Fry Chronicles","3.84","22572","398","132064"
"Jeff Potter","Cooking for Geeks: Real Science, Great Hacks, and Good Food","4.05","3734","460","188302"
"Gus Russo","The Outfit","4.01","773","641","208472"
"John Milton Cooper Jr.","Woodrow Wilson: A Biography","3.81","6374","794","313254"
"Ian Fleming","From Russia With Love","3.91","37431","208","80570"
"Ian Fleming","Goldfinger","3.83","26211","222","85763"
"Ian Fleming","The Man With the Golden Gun","3.6","13781","129","49942"
"Ian Fleming","For Your Eyes Only","3.67","15636","156","62228"
"Ian Fleming","Moonraker","3.81","29641","189","73368"
"Ian Fleming","On Her Majesty's Secret Service","3.97","21550","207","80559"
"Ian Fleming","Diamonds Are Forever","3.63","23772","179","70844"
"Ian Fleming","Live and Let Die","3.63","34835","175","67940"
"Ian Fleming","Doctor No","3.81","25184","197","78401"
"Ian Fleming","Thunderball","3.83","17756","215","83958"
"Ian Fleming","Casino Royale","3.74","91223","130","50098"
"Alan Brinkley","The Publisher: Henry Luce and His American Century","3.71","319","672","227491"
"Howard Pyle","The Merry Adventures of Robin Hood","4.07","65873","345","124469"
"Howie Mandel & Josh Young","Here's the Deal: Don't Touch Me","3.76","3503","179","63025"
"Beverly Connor","Dead Past","4.13","1216","396","105169"
"Beverly Connor","One Grave Too Many","3.97","2263","449","115924"
"Beverly Connor","Dead Secret","4.11","1380","459","123263"
"Charles Nicholl","The Lodger Shakespeare: His Life on Silver Street","3.76","763","400","123399"
"Dan Parry","Moonshot: The Inside Story of Mankind's Greatest Adventure","4.08","484","274","101334"
"William Manchester","A World Lit Only by Fire","3.83","12603","311","103862"
"Michael Crichton","Next","3.53","75762","306","116394"
"Jeffery Hudson & Michael Crichton","A Case of Need","3.75","39691","203","87737"
"Michael Crichton","Airframe","3.74","87408","429","97421"
"Michael Crichton","Eaters of the Dead","3.71","44961","135","53533"
"Michael Crichton","Congo","3.63","175738","234","85749"
"John Lange & Michael Crichton","Binary","3.62","4795","171","38207"
"Arturo Pérez-Reverte","The Seville Communion","3.7","8886","420","126774"
"Arturo Pérez-Reverte","The Sun Over Breda","3.8","5556","167","61027"
"Arturo Pérez-Reverte","Purity of Blood","3.8","6911","184","61140"
"Arturo Pérez-Reverte","The Nautical Chart","3.56","6469","500","157077"
"Arturo Pérez-Reverte","The Queen of the South","3.95","15361","506","162346"
"Arturo Pérez-Reverte","The King's Gold","3.9","4555","212","67472"
"Richard J. Evans","The Coming of the Third Reich","4.3","11134","865","233577"
"Scott Pearson & David R. George Iii & Steve Mollmann & Michael Schuster","Shattered Light","3.87","256","524","149583"
"Margaret Weis & Tracy Hickman","Test of the Twins","4.2","31048","341","98053"
"Margaret Weis & Tracy Hickman","Dragons of Spring Dawning","4.14","60044","453","129023"
"Margaret Weis & Tracy Hickman","Dragons of Winter Night","4.15","53249","490","137418"
"Margaret Weis & Tracy Hickman","War of the Twins","4.16","31844","456","129524"
"Margaret Weis & Tracy Hickman","Time of the Twins","4.17","38003","480","140085"
"Margaret Weis & Tracy Hickman","The Second Generation","3.7","9166","469","136667"
"Hooman Majd","The Ayatollah Begs to Differ: The Paradox of Modern Iran","3.77","2183","267","92117"
"Jon Krakauer","Where Men Win Glory: The Odyssey of Pat Tillman","4.09","41659","355","129410"
"Chuck Palahniuk","Haunted","3.59","108859","399","116054"
"Chuck Palahniuk","Fugitives & Refugees: A Walk in Portland, Oregon","3.51","9988","142","38104"
"Walter Laqueur","A History of Zionism","3.86","259","725","265146"
"Keith Haring","Keith Haring Journals","4.23","1197","344","114020"
"Dan Simmons","A Winter Haunting","3.59","10580","324","93890"
"Dan Simmons","Carrion Comfort","3.91","24610","1202","357790"
"Dan Simmons","Summer of Night","4.04","27544","748","221020"
"Robert Browning","Childe Roland to the Dark Tower Came","4.0","1188","6","2255"
"Robert Browning","The Pied Piper of Hamlin","3.91","3013","7","2249"
"Chet Raymo","Skeptics and True Believers","3.64","253","176","59248"
"Neil Sheehan","A Fiery Peace in a Cold War: Bernard Schriever and the Ultimate Weapon","3.87","807","569","198471"
"Anna Whitelock","Mary Tudor: Princess, Bastard, Queen","3.97","3273","352","126777"
"Jane Leavy","The Last Boy: Mickey Mantle and the End of America's Childhood","3.97","6770","601","169403"
